feature,obs_freq,null_mean,null_std,rel_risk,z_score,p_montecarlo,p_value,p_fdr,n_events,k_controls,direction
aspect|Sun|Uranus|sextile,0.08526011560693642,0.06924494219653182,0.006175230615285046,1.2312829342098393,2.5934534931802444,0.01990049751243781,0.009501738903124604,0.7883145721208953,1384,200,exceso
angular|Sun|MC,0.06213872832369942,0.04390173410404627,0.005922579117743106,1.4154048716260688,3.0792318442852054,0.009950248756218905,0.002075351070744771,0.7883145721208953,1384,200,exceso
aspect|Sun|Jupiter|trine,0.06430635838150289,0.07863078034682083,0.006286245065500431,0.8178267861245117,-2.2786928947348652,0.03980099502487562,0.022685327415311655,0.7883145721208953,1384,200,déficit
lunar_phase|menguante_mayor,0.10621387283236994,0.12632947976878625,0.009019457403771596,0.8407687028140005,-2.2302457937219957,0.04975124378109453,0.02573112963398274,0.7883145721208953,1384,200,déficit
house|Uranus|3,0.0657514450867052,0.08183164739884395,0.006616669649389181,0.8034965343693433,-2.4302561808602903,0.029850746268656716,0.015088153952823695,0.7883145721208953,1384,200,déficit
lunar_phase|menguante_menor,0.14595375722543352,0.12365606936416183,0.009331567587513493,1.1803202056795608,2.389490045714085,0.01990049751243781,0.016871781063278843,0.7883145721208953,1384,200,exceso
house|Jupiter|1,0.06358381502890173,0.08338150289017342,0.008078767383325722,0.7625649913344886,-2.4505827339617903,0.029850746268656716,0.014262518167814802,0.7883145721208953,1384,200,déficit
house|Jupiter|9,0.10332369942196531,0.08338150289017338,0.007326750655324289,1.2391681109185446,2.721833657229772,0.009950248756218905,0.0064920811532220655,0.7883145721208953,1384,200,exceso
house|Mars|3,0.06791907514450866,0.08328395953757227,0.0069720875975359175,0.815512080857155,-2.203770990842668,0.04975124378109453,0.0275404536810961,0.7883145721208953,1384,200,déficit
house|Venus|9,0.09826589595375723,0.08247109826589595,0.007175898404285814,1.1915191869633783,2.2010899260262407,0.03980099502487562,0.027729658315810386,0.7883145721208953,1384,200,exceso
aspect|Mercury|Pluto|sextile,0.08309248554913294,0.0687030346820809,0.005713137856013934,1.2094441815217967,2.5186598380266605,0.01990049751243781,0.011780240221707644,0.7883145721208953,1384,200,exceso
aspect|Mercury|Uranus|sextile,0.05130057803468208,0.06728684971098266,0.005944993634497391,0.7624161073825504,-2.6890309156154553,0.009950248756218905,0.007165978224965757,0.7883145721208953,1384,200,déficit
angular|Jupiter|ASC,0.030346820809248554,0.044082369942196574,0.005821947601029098,0.6884117357810188,-2.3592704837329865,0.01990049751243781,0.018310903835315022,0.7883145721208953,1384,200,déficit
angular|Jupiter|IC,0.03251445086705202,0.04463511560693642,0.005210050980332856,0.7284500202347226,-2.326400410598294,0.029850746268656716,0.019997199747525608,0.7883145721208953,1384,200,déficit
aspect|Sun|Mars|opposition,0.0072254335260115606,0.01317557803468209,0.002738199361368254,0.5483959418700297,-2.1730136207822706,0.03980099502487562,0.029779292147896066,0.7901438849908423,1384,200,déficit
angular|Moon|IC,0.05563583815028902,0.04463511560693644,0.005228146943861834,1.2464589235127472,2.10413415335774,0.04975124378109453,0.035366746374609535,0.8797478160684122,1384,200,exceso
house|Uranus|2,0.09465317919075145,0.0827384393063584,0.006865734410066179,1.1440048904025848,1.735391900234924,0.12935323383084577,0.08267141377339673,0.912215263955091,1384,200,exceso
house|Pluto|6,0.07225433526011561,0.08662933526011558,0.007780141135715647,0.8340631385795908,-1.847652857351116,0.08955223880597014,0.0646525778943709,0.912215263955091,1384,200,déficit
aspect|Sun|Pluto|trine,0.10476878612716763,0.09105491329479769,0.0075190020426147966,1.150611014124742,1.8238953460372813,0.07960199004975124,0.06816789541036969,0.912215263955091,1384,200,exceso
house|Sun|10,0.09609826589595376,0.08117052023121386,0.007507297439051142,1.1839059996439383,1.9884313610766744,0.06965174129353234,0.04676400323257446,0.912215263955091,1384,200,exceso
aspect|Jupiter|Saturn|sextile,0.06430635838150289,0.0694942196531792,0.002520469241210501,0.9253483052609689,-2.0582918398102508,0.05970149253731343,0.03956212704670517,0.912215263955091,1384,200,déficit
aspect|Mars|Saturn|opposition,0.03106936416184971,0.03783236994219655,0.003895422040739662,0.821237585943468,-1.7361419917064185,0.07960199004975124,0.08253873109373935,0.912215263955091,1384,200,déficit
aspect|Moon|Pluto|conjunction,0.03395953757225433,0.043851156069364176,0.005227621286413155,0.7744274180260337,-1.8921834530781039,0.05970149253731343,0.058466542249610634,0.912215263955091,1384,200,déficit
aspect|Venus|Uranus|trine,0.07153179190751445,0.08450505780346818,0.007058406361839965,0.8464794151596771,-1.8379879580313498,0.09950248756218906,0.06606417976895874,0.912215263955091,1384,200,déficit
house|Mercury|12,0.06936416184971098,0.08310693641618495,0.007259830404502481,0.8346374543557643,-1.8929883758649284,0.01990049751243781,0.05835941532411361,0.912215263955091,1384,200,déficit
house|Mercury|11,0.0968208092485549,0.08242774566473984,0.0074391660762232,1.174614305750351,1.9347684184411025,0.05970149253731343,0.05301872020766479,0.912215263955091,1384,200,exceso
house|Mercury|9,0.09465317919075145,0.08236632947976875,0.0067441043846784305,1.1491732093512879,1.8218652930249015,0.09950248756218906,0.06847542764281915,0.912215263955091,1384,200,exceso
aspect|Moon|Mercury|trine,0.07514450867052024,0.08873554913294797,0.007075146448694529,0.8468365768259914,-1.920955355621718,0.06965174129353234,0.05473733608141219,0.912215263955091,1384,200,déficit
lunar_phase|cuarto_menguante,0.14523121387283236,0.12717124277456635,0.008865750143089877,1.142013010994007,2.037049410008726,0.05970149253731343,0.04164509082152893,0.912215263955091,1384,200,exceso
angular|Moon|ASC,0.05346820809248555,0.04406791907514451,0.00546300730953076,1.2133136579767174,1.7207169027471916,0.09950248756218906,0.08530220765438933,0.912215263955091,1384,200,exceso
aspect|Moon|Venus|conjunction,0.05346820809248555,0.04380419075144508,0.005433367979459733,1.2206185567010313,1.778642156683342,0.11940298507462686,0.07529844798945995,0.912215263955091,1384,200,exceso
lunar_phase|creciente_menor,0.10982658959537572,0.1272218208092486,0.00909087264260437,0.8632684935396845,-1.913483105279699,0.03980099502487562,0.05568623432388739,0.912215263955091,1384,200,déficit
house|Sun|12,0.07008670520231214,0.08260115606936408,0.007346332193729992,0.8484954513645915,-1.703496457420327,0.09950248756218906,0.08847520040450053,0.912215263955091,1384,200,déficit
aspect|Mercury|Uranus|opposition,0.033236994219653176,0.04101517341040464,0.0043527603883126405,0.810358495551836,-1.78695321976285,0.08955223880597014,0.07394504974635546,0.912215263955091,1384,200,déficit
angular|Mars|IC,0.03468208092485549,0.044548410404624324,0.005509681293640863,0.7785256670180836,-1.790725988299234,0.05970149253731343,0.07333727717098339,0.912215263955091,1384,200,déficit
aspect|Mercury|Mars|square,0.08815028901734104,0.07752167630057802,0.006297983092996112,1.137105042408426,1.6876216655111274,0.12935323383084577,0.09148387757970185,0.912215263955091,1384,200,exceso
tidal|spring,0.5158959537572254,0.49356213872832405,0.013241900773503977,1.0452502598486282,1.6866019018651464,0.11940298507462686,0.09167992602563729,0.912215263955091,1384,200,exceso
aspect|Sun|Pluto|conjunction,0.03468208092485549,0.043312861271676315,0.004873254805424149,0.8007340061723243,-1.7710504973420198,0.06965174129353234,0.07655230481039342,0.912215263955091,1384,200,déficit
tidal|neap,0.4841040462427746,0.506437861271676,0.013241900773503979,0.9559001868998879,-1.6866019018651504,0.11940298507462686,0.09167992602563652,0.912215263955091,1384,200,déficit
aspect|Sun|Moon|square,0.06502890173410404,0.07939667630057803,0.00770075721278939,0.819038085270965,-1.8657612711918827,0.06965174129353234,0.06207477303487159,0.912215263955091,1384,200,déficit
angular|Venus|MC,0.036127167630057806,0.04481575144508674,0.005407716768691151,0.806126561870213,-1.6067009768952567,0.15920398009950248,0.10811997923150823,0.9562611496475617,1384,200,déficit
house|Neptune|7,0.07153179190751445,0.08252890173410407,0.0068224847820888114,0.866748380318683,-1.6118921738690464,0.09950248756218906,0.10698540551511766,0.9562611496475617,1384,200,déficit
aspect|Moon|Jupiter|opposition,0.03468208092485549,0.04368135838150291,0.0054561874877108,0.7939789926391526,-1.6493710080375485,0.11940298507462686,0.0990716504707091,0.9562611496475617,1384,200,déficit
angular|Mercury|IC,0.036127167630057806,0.044707369942196526,0.005303624174963104,0.8080808080808083,-1.617799834430842,0.10945273631840796,0.10570574210085236,0.9562611496475617,1384,200,déficit
aspect|Jupiter|Uranus|square,0.08309248554913294,0.07830202312138726,0.0029292228666554596,1.0611792931623145,1.6354038752999889,0.12935323383084577,0.10196441057051271,0.9562611496475617,1384,200,exceso
house|Mars|1,0.09393063583815028,0.08320809248554914,0.0074891037389083325,1.128864188954498,1.4317525469561918,0.15920398009950248,0.15221465216867877,0.9648614009840576,1384,200,exceso
aspect|Sun|Pluto|sextile,0.05491329479768786,0.06457008670520231,0.006825951416120112,0.8504448050131483,-1.4147173512997835,0.1791044776119403,0.15715138491273514,0.9648614009840576,1384,200,déficit
house|Neptune|1,0.09609826589595376,0.08566835260115609,0.007619038370011849,1.1217475646269977,1.3689277817328345,0.19900497512437812,0.17102185053072233,0.9648614009840576,1384,200,exceso
house|Saturn|11,0.09393063583815028,0.08327673410404623,0.00795803710187996,1.1279337122033752,1.3387599979380886,0.21890547263681592,0.18064881714530376,0.9648614009840576,1384,200,exceso
house|Venus|8,0.07225433526011561,0.08308887283236994,0.007868691670767484,0.8696030262185312,-1.3769172850557976,0.1890547263681592,0.16853782248366514,0.9648614009840576,1384,200,déficit
aspect|Moon|Jupiter|trine,0.07947976878612717,0.08930997109826584,0.007147272919277785,0.8899316370696984,-1.3753780530227733,0.1890547263681592,0.16901426945224432,0.9648614009840576,1384,200,déficit
house|Saturn|10,0.07153179190751445,0.08253251445086697,0.0074480045405297835,0.866710439921209,-1.477002663396608,0.1890547263681592,0.13967492333656392,0.9648614009840576,1384,200,déficit
house|Mars|4,0.07369942196531792,0.08402095375722544,0.007615869877220872,0.8771552650814808,-1.355266300279014,0.26865671641791045,0.1753327277916529,0.9648614009840576,1384,200,déficit
house|Mars|7,0.07369942196531792,0.08408959537572253,0.007422290007970616,0.8764392507303663,-1.3998608784144582,0.208955223880597,0.16155498316963443,0.9648614009840576,1384,200,déficit
house|Mars|8,0.0953757225433526,0.08472904624277454,0.00777645804246005,1.1256555664520533,1.3690906891603345,0.1890547263681592,0.17097092840011935,0.9648614009840576,1384,200,exceso
house|Mars|12,0.09248554913294797,0.08181358381502893,0.0075835353082953985,1.1304424622449876,1.4072546489294124,0.208955223880597,0.15935189193192775,0.9648614009840576,1384,200,exceso
angular|Pluto|IC,0.03684971098265896,0.04528179190751446,0.005682441806471098,0.8137865007180468,-1.4838833747937628,0.14925373134328357,0.13783986315188201,0.9648614009840576,1384,200,déficit
aspect|Sun|Moon|conjunction,0.05130057803468208,0.043197254335260137,0.0054287500412872605,1.1875888600819597,1.492668411290584,0.13930348258706468,0.13552400603596707,0.9648614009840576,1384,200,exceso
angular|Neptune|DSC,0.03757225433526012,0.044421965317919115,0.005158700081405806,0.8458035133376701,-1.3277978705039142,0.24875621890547264,0.1842448906401718,0.9648614009840576,1384,200,déficit
house|Uranus|8,0.07153179190751445,0.08248916184971102,0.0072814143786418565,0.8671659440283797,-1.504840869149979,0.14925373134328357,0.1323649936184335,0.9648614009840576,1384,200,déficit
aspect|Sun|Neptune|trine,0.07947976878612717,0.08973988439306359,0.006989946522944918,0.8856682769726247,-1.4678389274162504,0.1691542288557214,0.14214798071054646,0.9648614009840576,1384,200,déficit
aspect|Sun|Neptune|square,0.06647398843930635,0.0759754335260115,0.006120169582577291,0.8749405611031866,-1.5524806884033997,0.13930348258706468,0.12054724997006727,0.9648614009840576,1384,200,déficit
house|Pluto|8,0.0968208092485549,0.0869291907514451,0.007387509626010386,1.1137893774416088,1.3389652261545353,0.22885572139303484,0.18058199365214728,0.9648614009840576,1384,200,exceso
house|Pluto|11,0.09609826589595376,0.08523843930635841,0.007556920274892509,1.1274052725269132,1.437070419503641,0.1791044776119403,0.1506979853141818,0.9648614009840576,1384,200,exceso
angular|Saturn|MC,0.03684971098265896,0.04469291907514453,0.005422715685380871,0.8245089321800984,-1.4463616659140204,0.1691542288557214,0.14807578792707352,0.9648614009840576,1384,200,déficit
aspect|Venus|Mars|trine,0.07442196531791907,0.08337427745664736,0.00563267654362762,0.8926250108328282,-1.5893531377824712,0.12935323383084577,0.1119806882231131,0.9648614009840576,1384,200,déficit
aspect|Mars|Saturn|square,0.06864161849710983,0.07671604046242776,0.005636702743342625,0.8947492347539437,-1.432472552300978,0.1791044776119403,0.15200862786765829,0.9648614009840576,1384,200,déficit
aspect|Venus|Pluto|sextile,0.07803468208092486,0.06959898843930637,0.006212571282079943,1.1212042564235658,1.3578425515939117,0.23880597014925373,0.17451364958717963,0.9648614009840576,1384,200,exceso
aspect|Jupiter|Neptune|opposition,0.033236994219653176,0.03589595375722545,0.002001846736098455,0.9259259259259254,-1.328253302125673,0.23880597014925373,0.18409444102224326,0.9648614009840576,1384,200,déficit
aspect|Saturn|Uranus|conjunction,0.041184971098265896,0.04305635838150294,0.0013766395056465492,0.9565363315992604,-1.3593880428109142,0.3283582089552239,0.17402365808559672,0.9648614009840576,1384,200,déficit
aspect|Moon|Uranus|sextile,0.05635838150289017,0.0658851156069364,0.006369428527817777,0.8554038493173222,-1.4956968372341826,0.15920398009950248,0.13473267488076898,0.9648614009840576,1384,200,déficit
aspect|Moon|Neptune|trine,0.078757225433526,0.08851156069364166,0.007298408607520783,0.8897959183673465,-1.3365016655910598,0.19900497512437812,0.1813853564595945,0.9648614009840576,1384,200,déficit
angular|Uranus|DSC,0.05057803468208093,0.04349349710982662,0.005113617108980545,1.162887282996926,1.3854258974166112,0.21890547263681592,0.1659222767417121,0.9648614009840576,1384,200,exceso
aspect|Sun|Mercury|conjunction,0.22326589595375723,0.2377854046242775,0.01043842661210463,0.9389386043543656,-1.3909671648870072,0.19900497512437812,0.16423538388774414,0.9648614009840576,1384,200,déficit
aspect|Mercury|Venus|sextile,0.09971098265895954,0.1096676300578035,0.006506382940286865,0.9092106996969296,-1.5302891776002614,0.13930348258706468,0.1259451659084038,0.9648614009840576,1384,200,déficit
angular|Saturn|ASC,0.05130057803468208,0.043367052023121404,0.005931307843887349,1.1829390203265575,1.3375677372296169,0.208955223880597,0.1810373873905097,0.9648614009840576,1384,200,exceso
house|Neptune|10,0.09609826589595376,0.08610549132947977,0.00768743633881259,1.1160526978266343,1.299883878845556,0.25870646766169153,0.19364077121275208,0.997398544486262,1384,200,exceso
aspect|Mercury|Jupiter|opposition,0.03106936416184971,0.03631141618497113,0.00404927438879921,0.8556362550989944,-1.2945657714926846,0.23880597014925373,0.19547006650735785,0.997398544486262,1384,200,déficit
angular|Uranus|ASC,0.04046242774566474,0.044718208092485556,0.006247880408151746,0.9048311520439488,-0.6811558590763367,0.5771144278606966,0.4957728750434286,1.0,1384,200,déficit
angular|Saturn|IC,0.03829479768786127,0.04449783236994218,0.005519044067008858,0.8605991718762689,-1.123932805530714,0.29850746268656714,0.2610415329360225,1.0,1384,200,déficit
angular|Saturn|DSC,0.041184971098265896,0.044479768786127166,0.0058626536220228575,0.9259259259259259,-0.5619976720924592,0.6368159203980099,0.5741176051762646,1.0,1384,200,déficit
angular|Jupiter|MC,0.04335260115606936,0.04403540462427746,0.005296823261091432,0.9844942160964802,-0.12890810860610166,1.0,0.8974303604668149,1.0,1384,200,déficit
angular|Jupiter|DSC,0.04841040462427745,0.04503612716763008,0.006004784427076112,1.0749237927161874,0.5619314894024262,0.6069651741293532,0.5741626981076011,1.0,1384,200,exceso
angular|Mars|MC,0.044797687861271675,0.04444725433526013,0.005561047521401921,1.007884255872551,0.06301574022931582,0.9850746268656716,0.9497539703413099,1.0,1384,200,exceso
angular|Mars|DSC,0.039739884393063585,0.04542991329479771,0.005464422583516375,0.8747514910536776,-1.0412863966447798,0.3681592039800995,0.2977426482586495,1.0,1384,200,déficit
angular|Mars|ASC,0.046242774566473986,0.04441835260115611,0.00521030274355131,1.04107360715738,0.3501566137545319,0.8159203980099502,0.7262211652713646,1.0,1384,200,exceso
angular|Venus|IC,0.044797687861271675,0.04478684971098267,0.0056474159521086075,1.0002419940308136,0.0019191344113684223,0.9850746268656716,0.9984687532230136,1.0,1384,200,exceso
aspect|Sun|Mars|trine,0.04841040462427745,0.05085260115606939,0.0052989835217110105,0.9519749928957084,-0.4608801899054343,0.7164179104477612,0.6448845652428552,1.0,1384,200,déficit
aspect|Sun|Mars|square,0.08092485549132948,0.08111271676300578,0.0054549576436477955,0.9976839479779084,-0.03443863068214016,0.9950248756218906,0.972527378900571,1.0,1384,200,déficit
aspect|Sun|Mars|sextile,0.11054913294797687,0.10541546242774567,0.006290817379799305,1.0486994071078515,0.8160577887249013,0.4975124378109453,0.4144670847481957,1.0,1384,200,exceso
aspect|Sun|Mars|conjunction,0.06647398843930635,0.06530346820809245,0.00379548989054374,1.0179243195397216,0.3083976680138688,0.8557213930348259,0.7577797562127135,1.0,1384,200,exceso
aspect|Sun|Venus|opposition,0.0,0.0,0.0,,,1.0,1.0,1.0,1384,200,exceso
