feature,obs_freq,null_mean,null_std,rel_risk,z_score,p_montecarlo,p_value,p_fdr,n_events,k_controls,direction
aspect|Mercury|Jupiter|conjunction,0.08136234626300852,0.05961210974456013,0.00577073448957943,1.3648627202031411,3.7690586107754784,0.009950248756218905,0.00016386440950942575,0.06521803498475144,1057,200,exceso
house|Uranus|12,0.10596026490066225,0.08243614001892134,0.008673335515318716,1.285361794915937,2.712235084206411,0.029850746268656716,0.0066831177440937655,0.5083871679625125,1057,200,exceso
house|Mercury|9,0.10690633869441817,0.08382686849574253,0.008655280717121978,1.2753230630325623,2.6665189672034044,0.029850746268656716,0.007664128160238882,0.5083871679625125,1057,200,exceso
aspect|Venus|Saturn|square,0.09366130558183539,0.07691106906338675,0.006026039227059281,1.217787071775635,2.779642794762022,0.009950248756218905,0.005441872208731115,0.5083871679625125,1057,200,exceso
aspect|Moon|Jupiter|opposition,0.027436140018921477,0.043949858088930954,0.0060073505323488055,0.6242600365945536,-2.7489186757265522,0.01990049751243781,0.005979221915089558,0.5083871679625125,1057,200,déficit
aspect|Mercury|Saturn|sextile,0.08325449385052035,0.06520813623462626,0.006332576719904171,1.2767500906782743,2.8497653347288896,0.029850746268656716,0.00437514958798883,0.5083871679625125,1057,200,exceso
aspect|Moon|Neptune|square,0.09933774834437085,0.07764900662251634,0.008325264349718989,1.2793176972281486,2.605171536995891,0.009950248756218905,0.009182827304149599,0.5221093238645057,1057,200,exceso
house|Mercury|6,0.06244087038789026,0.08255912961210958,0.008460068740286172,0.7563169655646609,-2.378025503317459,0.01990049751243781,0.017405622044826145,0.6855820428945263,1057,200,déficit
house|Moon|5,0.06433301797540208,0.08358561967833479,0.008312727744269818,0.7696661007357114,-2.316039006113731,0.03980099502487562,0.020556139049252006,0.6855820428945263,1057,200,déficit
aspect|Venus|Mars|trine,0.09082308420056764,0.0746168401135287,0.006912818868016886,1.2171928489920147,2.3443756297477103,0.029850746268656716,0.01905896575052879,0.6855820428945263,1057,200,exceso
house|Venus|2,0.10028382213812677,0.08268684957426663,0.007604754266565134,1.2128146453089268,2.3139436130404025,0.05970149253731343,0.02067081536365406,0.6855820428945263,1057,200,exceso
aspect|Moon|Pluto|square,0.0586565752128666,0.07810312204351923,0.008188955005927733,0.7510144751983542,-2.374728743359301,0.01990049751243781,0.017561850918343475,0.6855820428945263,1057,200,déficit
aspect|Jupiter|Neptune|opposition,0.039735099337748346,0.03455534531693466,0.00230755148350199,1.1498973305954847,2.244697055665592,0.05970149253731343,0.024787587197865765,0.7588815157500441,1057,200,exceso
house|Uranus|4,0.065279091769158,0.08414853358561959,0.008618462742584928,0.775760301309799,-2.189420825969957,0.01990049751243781,0.028566267334419755,0.8010043876973553,1057,200,déficit
aspect|Sun|Pluto|sextile,0.05392620624408704,0.0684484389782402,0.006699661580008143,0.7878369039391857,-2.1676069098008837,0.029850746268656716,0.03018860757653349,0.8010043876973553,1057,200,déficit
house|Mars|11,0.06622516556291391,0.08331125827814555,0.008019652673641959,0.7949125596184434,-2.130527768538926,0.029850746268656716,0.03312806577584369,0.8240606361741118,1057,200,déficit
aspect|Moon|Neptune|conjunction,0.03216650898770104,0.0453405865657522,0.006278365021001369,0.7094418362023985,-2.098329347526524,0.029850746268656716,0.03587606176528796,0.839921916622624,1057,200,déficit
aspect|Moon|Mercury|conjunction,0.03405865657521287,0.04397824030274364,0.006201266405404157,0.774443368828654,-1.599606125433709,0.13930348258706468,0.10968598872665604,0.8996515266366957,1057,200,déficit
aspect|Sun|Uranus|opposition,0.02838221381267739,0.03774834437086085,0.005549838563404603,0.7518796992481218,-1.687640181093433,0.14925373134328357,0.09148032109631102,0.8996515266366957,1057,200,déficit
house|Saturn|1,0.06717123935666983,0.08296594134342467,0.008916014227690734,0.8096242659216616,-1.7714980689129853,0.09950248756218906,0.07647791352283996,0.8996515266366957,1057,200,déficit
house|Saturn|2,0.09933774834437085,0.08415326395458839,0.00881380632262223,1.1804384485666113,1.722806677837785,0.14925373134328357,0.08492349077699497,0.8996515266366957,1057,200,exceso
aspect|Sun|Pluto|opposition,0.05676442762535478,0.04597445600756862,0.005766919966464493,1.2346949274616723,1.8710111602955244,0.06965174129353234,0.061343534138128764,0.8996515266366957,1057,200,exceso
