feature,obs_freq,null_mean,null_std,rel_risk,z_score,p_montecarlo,p_value,p_fdr,n_events,k_controls,direction
angular|Jupiter|DSC,0.054018227009113504,0.04480198840099419,0.0025012199694832873,1.2057104815444932,3.684697355915979,0.009950248756218905,0.0002289745491393313,0.09113187055745385,6035,200,exceso
aspect|Mercury|Uranus|sextile,0.059154929577464786,0.06708533554266775,0.002698298945540473,0.8817862964975549,-2.9390390484011015,0.009950248756218905,0.0032923159194348725,0.6551708679675396,6035,200,déficit
aspect|Sun|Mars|trine,0.04507042253521127,0.05088566694283348,0.0023119129799752916,0.8857194027906673,-2.515338794319309,0.01990049751243781,0.011891804699797651,0.6761340386456379,6035,200,déficit
angular|Moon|ASC,0.0512013256006628,0.04425766362883181,0.002652377072311407,1.1568917426383873,2.6179015209854604,0.029850746268656716,0.00884723338402575,0.6761340386456379,6035,200,exceso
house|Moon|1,0.09179784589892295,0.08311019055509526,0.003361231439402788,1.1045317702414421,2.584664430418181,0.029850746268656716,0.00974738139887071,0.6761340386456379,6035,200,exceso
aspect|Sun|Uranus|opposition,0.035625517812758904,0.0413545981772991,0.0022450510700720567,0.8614644896323748,-2.5518708420099836,0.01990049751243781,0.010714623034818935,0.6761340386456379,6035,200,déficit
house|Mars|11,0.07323943661971831,0.0830513670256835,0.0036671330637924483,0.8818570872779148,-2.6756406804115147,0.009950248756218905,0.007458656294110734,0.6761340386456379,6035,200,déficit
house|Neptune|10,0.08997514498757249,0.08170505385252691,0.003464071637549044,1.101218844430023,2.387390331481992,0.01990049751243781,0.016968464565382313,0.7503832107802401,6035,200,exceso
aspect|Moon|Pluto|conjunction,0.037945318972659486,0.04410604805302402,0.0025434052059979295,0.8603200841535804,-2.4222365613769004,0.01990049751243781,0.01542530541413703,0.7503832107802401,6035,200,déficit
house|Sun|3,0.07555923777961888,0.08336785418392707,0.003489024501991024,0.9063354037267082,-2.2380514667788014,0.029850746268656716,0.025217699073400733,0.7585954231556714,6035,200,déficit
house|Mars|3,0.07555923777961888,0.0834043082021541,0.0035675335333450377,0.9059392663083968,-2.1990179907795886,0.04975124378109453,0.02787664308575569,0.7585954231556714,6035,200,déficit
aspect|Sun|Uranus|conjunction,0.04208782104391052,0.04733719966859984,0.0023238277577816322,0.8891066928031363,-2.258936191424304,0.04975124378109453,0.023887354327263507,0.7585954231556714,6035,200,déficit
aspect|Mercury|Uranus|conjunction,0.05070422535211268,0.045711681855840916,0.0022697966447187564,1.1092181099793383,2.1995554129873924,0.04975124378109453,0.02783845354351313,0.7585954231556714,6035,200,exceso
house|Sun|4,0.0916321458160729,0.08307787903893951,0.0037440782040659977,1.1029668411867366,2.2847457533989592,0.03980099502487562,0.02232774013347368,0.7585954231556714,6035,200,exceso
house|Uranus|8,0.07522783761391881,0.08296188898094449,0.00353299792209708,0.9067758525989914,-2.1890902676882926,0.04975124378109453,0.028590279767173543,0.7585954231556714,6035,200,déficit
house|Uranus|4,0.07705053852526926,0.08335625517812756,0.0033252733044619306,0.9243522080090649,-1.8963002663261206,0.04975124378109453,0.05792035109031467,0.832215934719597,6035,200,déficit
aspect|Venus|Pluto|conjunction,0.04192212096106048,0.04610273405136699,0.0022920207163748137,0.9093196276461927,-1.8239857347008626,0.03980099502487562,0.06815422890525048,0.832215934719597,6035,200,déficit
house|Moon|5,0.07688483844241922,0.08331565865782935,0.0035079724046961263,0.9228137865197588,-1.833201483227513,0.08955223880597014,0.06677261340773402,0.832215934719597,6035,200,déficit
house|Sun|12,0.07754763877381939,0.0835161557580779,0.0032758525824225122,0.928534581961033,-1.8219736188020896,0.13930348258706468,0.06845898864317684,0.832215934719597,6035,200,déficit
